Date,Description,Amount,Balance
2024-12-01,Salary Deposit,3500.00,3500.00
2024-12-02,Tesco Supermarket,-85.50,3414.50
2024-12-03,Starbucks Coffee,-4.50,3410.00
2024-12-04,Uber Ride,-12.30,3397.70
2024-12-05,Amazon Purchase,-45.99,3351.71
2024-12-06,Netflix Subscription,-15.99,3335.72
2024-12-07,Sainsbury's Grocery,-67.20,3268.52
2024-12-08,Shell Petrol Station,-55.00,3213.52
2024-12-09,Pizza Express,-28.50,3185.02
2024-12-10,Gym Membership,-45.00,3140.02
2024-12-11,Electricity Bill,-89.00,3051.02
2024-12-12,Asda Supermarket,-72.30,2978.72
2024-12-13,Costa Coffee,-3.80,2974.92
2024-12-14,TFL Transport,-15.60,2959.32
2024-12-15,Spotify Subscription,-9.99,2949.33
2024-12-16,Zara Shopping,-89.99,2859.34
2024-12-17,Waitrose Grocery,-45.80,2813.54
2024-12-18,McDonald's,-8.99,2804.55
2024-12-19,Amazon Prime,-7.99,2796.56
2024-12-20,Boots Pharmacy,-23.50,2773.06
2024-12-21,Morrison's Supermarket,-58.40,2714.66
2024-12-22,Uber Eats,-18.50,2696.16
2024-12-23,H&M Shopping,-65.00,2631.16
2024-12-24,Tesco Supermarket,-125.80,2505.36
2024-12-25,Restaurant Bill,-85.00,2420.36
2024-12-26,Internet Bill,-35.00,2385.36
2024-12-27,Shell Petrol Station,-52.00,2333.36
2024-12-28,Freelance Payment,850.00,3183.36
2024-12-29,Sainsbury's Grocery,-48.90,3134.46
2024-12-30,Coffee Shop,-4.20,3130.26
